Country,Year,Oil_Electricity,Gas_Electricity,Coal_Electricity
Mexico,2001,92.74216507520885,50.86083492479117,23.172
US,2001,134.2798075268817,687.2356118279569,2056.984317204301
Total North America,2001,242.92734894617652,779.9235435269416,2190.631370967742
Argentina,2001,1.004,43.25819528429559,1.362
Brazil,2001,15.903812673956269,9.921246055684456,11.078
Other S. & Cent. America,2001,90.83836175232064,58.08827759114487,10.085761458580643
Total S. & Cent. America,2001,107.74617442627692,111.2677189311249,22.525761458580646
France,2001,5.958,15.146,23.901
Germany,2001,6.1000000000000005,55.5,293.2
Italy,2001,75.008,104.188,36.775
Netherlands,2001,2.646,54.408072,28.521
Poland,2001,2.398,1.358,137.107
Spain,2001,24.632,23.358,71.734
Turkey,2001,10.3662,49.5492,38.4175
Ukraine,2001,1.061,30.357,53.168
United Kingdom,2001,5.253166329004667,141.9060541128414,131.4605141648434
Other Europe,2001,55.48891507650573,101.0875326173898,277.73026466313934
Total Europe,2001,188.9112814055104,576.8578587302312,1092.014278827983
