Country,Year,Annual CO₂ emissions,Fossil Share Consumption,Non-CO₂ Share Consumption,Nuclear Share Consumption,Renewable Share Consumption,Fossil Electricity Share,Non-CO₂ Electricity Share,Nuclear Electricity Share,Renewable Electricity Share,Coal Production Share,Gas Production Share,Oil Production Share,Cluster
New Zealand,2019,36731820.0,0.6319726371885458,0.2797308261945505,0.0,0.2797308261945505,0.0,0.6198784974526412,0.0,0.6198784974526412,1.0,0.0,0.0,3
New Zealand,2020,34022760.0,0.6090760313178026,0.2934447714742512,0.0,0.2934447714742512,0.0,0.6003377909833437,0.0,0.6003377909833437,1.0,0.0,0.0,3
New Zealand,2021,34322604.0,0.5987331996763678,0.3008922507660292,0.0,0.3008922507660292,0.0,0.6071567662293543,0.0,0.6071567662293543,1.0,0.0,0.0,3
New Zealand,2022,31610088.0,0.5681646240146485,0.3303394527735757,0.0,0.3303394527735757,0.0,0.6583506207208523,0.0,0.6583506207208523,1.0,0.0,0.0,3
New Zealand,2023,30119236.0,0.5773304864294074,0.327109000699916,0.0,0.327109000699916,0.0,0.6749000008312487,0.0,0.6749000008312487,1.0,0.0,0.0,3
Norway,1990,35003000.0,0.2718851906122888,0.7267354057947004,0.0,0.7267354057947004,0.0,0.9942305167093428,0.0,0.9942305167093428,0.0,0.0109613866130566,0.9890386133869432,3
Norway,1991,33458000.0,0.2853105961593168,0.7132282553002944,0.0,0.7132282553002944,0.0,0.9921177562179644,0.0,0.9921177562179644,0.0,0.0094389759334439,0.990561024066556,3
Norway,1992,34394000.0,0.2770598734017591,0.7214248393310987,0.0,0.7214248393310987,0.0,0.9928939798818784,0.0,0.9928939798818784,0.0,0.0085606068002046,0.9914393931997952,3
Norway,1993,35938000.0,0.2796981940758301,0.7187206112859844,0.0,0.7187206112859844,0.0,0.9928806361630376,0.0,0.9928806361630376,0.0,0.0077054706023059,0.992294529397694,3
Norway,1994,37853000.0,0.3036782800542214,0.6945086446134995,0.0,0.6945086446134995,0.0,0.9862118307968168,0.0,0.9862118307968168,0.0,0.0074033947860411,0.9925966052139588,3
Norway,1995,38458000.0,0.2926289845937305,0.7055598695431563,0.0,0.7055598695431563,0.0,0.9880417198461928,0.0,0.9880417198461928,0.0,0.0071293151462698,0.99287068485373,3
Norway,1996,41524000.0,0.3405360168801492,0.6573937711447441,0.0,0.6573937711447441,0.0,0.9919684467873786,0.0,0.9919684467873786,0.0,0.0085655399590047,0.9914344600409952,3
Norway,1997,41625000.0,0.3359075592779798,0.6625223975860342,0.0,0.6625223975860342,0.0,0.9853347693412312,0.0,0.9853347693412312,0.0,0.0097261168599682,0.9902738831400316,3
Norway,1998,41818000.0,0.3271306775164658,0.6711786599261624,0.0,0.6711786599261624,0.0,0.9889916411685272,0.0,0.9889916411685272,0.0,0.0104450274848527,0.9895549725151472,3
Norway,1999,42591000.0,0.3149314914502299,0.6834104832811556,0.0,0.6834104832811556,0.0,0.9889525701353046,0.0,0.9889525701353046,0.0,0.0114385582840537,0.9885614417159462,3
Norway,2000,42110000.0,0.2793293599655789,0.71926934387755,0.0,0.71926934387755,0.0,0.990789464494004,0.0,0.990789464494004,0.0,0.0108797314007949,0.989120268599205,3
Norway,2001,43498000.0,0.3165808323033598,0.6818512259462305,0.0,0.6818512259462305,0.0,0.9877959404512068,0.0,0.9877959404512068,0.0,0.0117174378277837,0.9882825621722162,3
Norway,2002,42553000.0,0.3032355659196679,0.6952959098567171,0.0,0.6952959098567171,0.0,0.990090096980451,0.0,0.990090096980451,0.0,0.0145800223672009,0.9854199776327992,3
Norway,2003,43900000.0,0.3590555528040658,0.6387494882819565,0.0,0.6387494882819565,0.0,0.9848615006195904,0.0,0.9848615006195904,0.0,0.0166109733469749,0.9833890266530252,3
Norway,2004,44236000.0,0.3517788340979032,0.645865557513831,0.0,0.645865557513831,0.0,0.9854691044492848,0.0,0.9854691044492848,0.0,0.0183426949537127,0.9816573050462872,3
Norway,2005,43263000.0,0.2994546615865631,0.6986409766505853,0.0,0.6986409766505853,0.0,0.9868714901633998,0.0,0.9868714901633998,0.0,0.0215180761242024,0.9784819238757976,3
Norway,2006,43842000.0,0.3293866124458376,0.6681497570098395,0.0,0.6681497570098395,0.0,0.9874450789053628,0.0,0.9874450789053628,0.0,0.0238403248938424,0.9761596751061576,3
Norway,2007,45588000.0,0.3100841427384189,0.6871151706908033,0.0,0.6871151706908033,0.0,0.9809797031291008,0.0,0.9809797031291008,0.0,0.0262709898333948,0.9737290101666052,3
Norway,2008,44675000.0,0.2959570684128796,0.7001635498925856,0.0,0.7001635498925856,0.0,0.9849156979198918,0.0,0.9849156979198918,0.0,0.029926801472642,0.970073198527358,3
Norway,2009,43081000.0,0.3133841814020024,0.6831071144311716,0.0,0.6831071144311716,0.0,0.9582213351748842,0.0,0.9582213351748842,0.0,0.0328757624786551,0.9671242375213448,3
Norway,2010,45621000.0,0.3409612362044953,0.6540894678195316,0.0,0.6540894678195316,0.0,0.9511826496203392,0.0,0.9511826496203392,0.0,0.036988032928716,0.963011967071284,3
Norway,2011,44747000.0,0.3303205615430594,0.6648688925269877,0.0,0.6648688925269877,0.0,0.9523587566195594,0.0,0.9523587566195594,0.0,0.0369634685370775,0.9630365314629225,3
Norway,2012,44228000.0,0.2961862707372782,0.6992070930236172,0.0,0.6992070930236172,0.0,0.9692406039451256,0.0,0.9692406039451256,0.0,0.0448357409763184,0.9551642590236816,3
Norway,2013,44516000.0,0.3185206989261382,0.6762073642704984,0.0,0.6762073642704984,0.0,0.9698286021152498,0.0,0.9698286021152498,0.0,0.0446890961826756,0.9553109038173244,3
Norway,2014,44958000.0,0.3086383214076416,0.6871212318655681,0.0,0.6871212318655681,0.0,0.9698851870113404,0.0,0.9698851870113404,0.0,0.0434485038915593,0.9565514961084406,3
Norway,2015,45494000.0,0.3111217244966813,0.6844073088038293,0.0,0.6844073088038293,0.0,0.9673697828387998,0.0,0.9673697828387998,0.0,0.045424124191334,0.954575875808666,3
Norway,2016,44678000.0,0.2974175297562892,0.69473807181518,0.0,0.69473807181518,0.0,0.972236158995479,0.0,0.972236158995479,0.0,0.0440189903876944,0.9559810096123056,3
Norway,2017,44165000.0,0.2991925471656536,0.6889884846517271,0.0,0.6889884846517271,0.0,0.970885206127687,0.0,0.970885206127687,0.0,0.0475044675074822,0.9524955324925176,3
Norway,2018,44405000.0,0.3067614219701385,0.6842923308472945,0.0,0.6842923308472945,0.0,0.9716282481880856,0.0,0.9716282481880856,0.0,0.0495167044959218,0.9504832955040782,3
Norway,2019,42793000.0,0.3200980421947516,0.6678028892581847,0.0,0.6678028892581847,0.0,0.9705654978130328,0.0,0.9705654978130328,0.0,0.0487896595544068,0.9512103404455932,3
Norway,2020,41231000.0,0.279230971483867,0.7113828274282232,0.0,0.7113828274282232,0.0,0.9727601324353232,0.0,0.9727601324353232,0.0,0.0415813317465234,0.9584186682534764,3
